id,name,description,category,subcategory,tag-1,tag-2,tag-3,mood_short,function,ingerdient-1,rate-1,ingerdient-2,rate-2,ingerdient-3,rate-3,ingerdient-4,rate-4,garden,nature,taste,color,diy-kit,quantity,tempC,steepMin,timeDay,timeSeason-1,timeSeason-2,moment,intensity,taste-mod,caffeineLevel,origin,processing,useCases,allergens,isCaffeineFree,isOrganic,serveTemp,coldBrewRecommended,lukewarmRecommended
9,Apró Zárás,"Ez a tea nem rángat ki az ágyból, csak feltekeri a hangerőt a nappalhoz. Koffein barátságos kiadásban, nem hadüzenetként.",Dél-Amerikai Erő,Kreatív lendület,természetes koffeines élénkítő,friss,világoszöld,"Koffein, ami barátként ébreszt.",fókusz & éberség,zöld tea,60,mate,20,guayusa,12,citromhéj,8,1,1,friss,világoszöld-sárga,3,1 tk / 250 ml víz,75–85,2–3,reggel,tavasz,nyár,Általános jólét,Közepes,"Méz, Alma chips",közepes,Vegyes eredet,minimális oxidáció (zöld),általános,nincs,nem,igen,"forrón, jegesen is",TRUE,FALSE
17,Arany Chai,"Ez a bögrényi kurkuma olyan, mint egy esti naplemente: melegít, de nem éget. Inkább lezár, mint felpörget.",Indiai Teák & Ayurveda,Ázsiai tea,melegítő,fűszeres,halvány arany,Arany korty a nap lezárásához.,emésztés & komfort,kurkuma,76,gyömbér,8,fahéj,8,fekete tea,8,1,3,fűszeres,halvány arany-barnás,2,1.5 ek / 250 ml víz,90–95,5–7,este,tél,,Általános jólét,Közepes,"Narancskarika, Gyömbérszelet",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),általános,nincs,igen,igen,forrón,FALSE,FALSE
80,Barátságos Fordulat,"Koffein, de kedves kiadásban. Nem rúgja be az ajtót, inkább bekopog és hoz magával egy citromot.",Dél-Amerikai Erő,Vitalitás,élénkítő,friss,világosbarna,Barátságos koffeinfordulat.,fókusz & éberség,mate,60,guarana,20,menta,12,citromhéj,8,1,1,"friss, enyhén kesernyés, citrusos",világosbarna-zöldes,1,1 tk / 250 ml víz,90–95,5–7,reggel,Egész évben,,Erős napindítás,Erős,"Citrom, menta, méz",magas,Dél-Amerika – fennsík,szárított (gyógynövény/gyümölcs),általános,nincs,nem,igen,forrón,FALSE,FALSE
4,Barátságos Köd,"Ez nem felhőszakadás, inkább halk ködfátyol. És közben lassan eltűnik a háttérzaj, amit eddig észre se vettél.",Közel-Keleti Ízek,Védelem,méregtelenítő,friss,halvány arany,"Zöld tisztulás, könnyed erővel.",tisztítás & könnyedség,csalán,62,pitypanglevél,20,citromhéj,10,menta,8,1,1,friss,halvány arany-barnás,1,1 ek / 250 ml víz,90–95,5–7,reggel,tavasz,,Általános jólét,Erős,"Narancskarika, Citrom",mentes,Közép-Európa – vadon/kert,szárított (gyógynövény/gyümölcs),általános,nincs,igen,igen,forrón,FALSE,FALSE
67,Barátságos Zárás,"Kortyold el vele a nap végét. Nem filozofál, csak békésen elengedi a maradékot.",Évszakok Teái,Őszi melegség,emésztéstámogató,fűszeres,halványsárga,Kezd egy csészével elengedni az évet.,kiegyensúlyozás,rozmaring,62,kakukkfű,20,zsálya,12,rózsaszirom,6,3,3,"fűszeres, aromás, enyhén virágos",halványsárga-rózsaszínes,3,1 ek / 250 ml víz,90–95,5–7,délután,Nyár,,Könnyed kerti pihenő,Közepes,"Méz, friss rozmaringág",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),étkezés után,nincs,igen,igen,forrón,FALSE,FALSE
71,Belső Mosoly,"Ez a tea olyan, mint egy halk jóéjt-puszi. Nem tolakodó, de nélküle hiányos lenne az este.",Rituálé & Szertartás,Alvástámogatás,alvást segítő,lágy,világossárga,Kortyold fel az esti mosolyt.,alvás & lecsendesítés,hársfavirág,76,citromfű,10,vaníliahéj,8,levendula,6,2,2,"lágy, édeskés, enyhén virágos",világossárga,2,1 ek / 250 ml víz,90–95,5–7,este,Nyár,,Esti lecsendesedés,Könnyű,"Méz, kevés vanília",mentes,Közép-Európa – vadon/kert,szárított (gyógynövény/gyümölcs),"alvás, relax",nincs,igen,igen,"langyosan, forrón is",FALSE,TRUE
37,Chai Masala Klasszikus,"Olyan, mint egy régi barát, aki mindig hangosan köszön. Fűszeres, meleg, és mégis otthonos.",Relax & Alvás,Rituálé,melegítő,fűszeres,halvány arany,Fűszeres szünet egy bögrében.,emésztés & komfort,fekete tea,76,gyömbér,8,fahéj,8,kardamom,8,3,1,fűszeres,halvány arany-barnás,2,1.5 ek / 250 ml víz,90–95,3–5,reggel,tél,,Általános jólét,Közepes,"Alma chips, Fahéjrúd",magas,Vegyes eredet,oxidált (fekete),általános,nincs,nem,igen,forrón,FALSE,FALSE
32,Csésze Nyugi,"Olyan, mint amikor becsuksz egy zajos chat-ablakot. Halk, nyugtató jelenlét, ami nem kér figyelmet, mégis jobb lesz tőle.",Rituálé & Szertartás,Immunerősítő,ciklus és hormonális egyensúly,friss,aranyló,Egy csésze csend a napban.,szív & érzelmi harmónia,málna levél,60,cickafark,20,kamilla,12,citromfű,8,1,2,"friss, virágos",aranyló-sárgás,1,1 ek / 250 ml víz,90–95,5–7,este,egész évben,,Általános jólét,Közepes,"Narancskarika, Citrom",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),általános,nincs,igen,igen,forrón,FALSE,FALSE
21,Csésze Rend,"Ez a tea olyan, mint amikor a káosz végre sorba áll. Nem katonásan, inkább csak halk fejcsóválással.",Relax & Alvás,Meditáció,őszi,fűszeres,halvány arany,Kortyolt rend a káoszban.,kiegyensúlyozás,almahéj,64,diólevél,20,fahéj,8,szegfűszeg,8,3,2,fűszeres,halvány arany-barnás,3,1 ek / 250 ml víz,90–95,5–7,este,ősz,,Általános jólét,Közepes,"Méz, Fahéjrúd",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),általános,nincs,igen,igen,"jegesen, forrón is",TRUE,FALSE
43,Derű Üzem,"Ez a tea a kapcsoló az esti kikapcsoláshoz. Semmi extra, csak átkapcsol „üzemmódba”, ahol már nincs szükség e-mailekre.",Indiai Teák & Ayurveda,Esti relax,nyugtató,friss,aranyló,Nyugtató kapcsoló az álmokhoz.,alvás & lecsendesítés,macskagyökér,74,levendula,6,kamilla,12,citromfű,8,2,1,"friss, virágos",aranyló-sárgás,1,1 ek / 250 ml víz,90–95,5–7,este,ősz,tél,Mindennapi relax,Könnyű,"Gyömbérszelet, Narancskarika",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),"alvás, relax",nincs,igen,igen,forrón,FALSE,FALSE
22,Derűs Kanyar,"Kortyolva olyan, mintha a vitaminok bevennének egy éles fordulót. És te meglepve tapasztalod, hogy tényleg jól vezetnek.",Közel-Keleti Ízek,Virágos,immunerősítő,friss,halvány arany,"Vitaminos derű, hirtelen fordulatokhoz.",immun & védelem,homoktövis,74,narancshéj,10,gyömbér,8,mézpor,8,1,2,"friss, fűszeres",halvány arany-barnás,3,1.5 ek / 250 ml víz,90–95,5–7,reggel,tél,,"Betegségmegelőzés, immunerősítés",Erős,"Méz, Alma chips",mentes,Közép-Európa – vadon/kert,szárított (gyógynövény/gyümölcs),wellness,nincs,igen,igen,"jegesen, forrón is",TRUE,FALSE
73,Derűs Kitérő,"Ez a tea nem tart beszédet, csak kinyit egy ablakot a fejedben. Friss, zöld, és közben finoman rendet rak az emésztésben is.",Közel-Keleti Ízek,Védelem,emésztéskönnyítő,friss,halványzöld,Friss kitérő a nap közepén.,fókusz & éberség,zöld tea,62,menta,20,citromfű,10,zsálya,8,2,2,"friss, zöld, enyhén gyógynövényes",halványzöld,2,1 tk / 250 ml víz,75–85,2–3,reggel,Tavasz,,Stresszcsökkentés,Közepes,"Friss citromfű, méz",közepes,Vegyes eredet,minimális oxidáció (zöld),étkezés után,nincs,nem,igen,"forrón, jegesen is",TRUE,FALSE
8,Egyszerű Megoldás,"Pont olyan, mint amikor végre lekapcsolod a villanyt, és minden kisimul. Nem ígér mélyfilozófiai álmokat – csak sima alvást.",Rituálé & Szertartás,Lelki béke,alvást segítő,friss,aranyló,Egy csészányi puhán altató.,alvás & lecsendesítés,citromfű,76,levendula,6,macskagyökér,12,rózsa,6,2,2,"friss, virágos",aranyló-sárgás,1,1 ek / 250 ml víz,90–95,5–7,este,egész évben,,Mindennapi relax,Könnyű,"Friss menta, Fahéjrúd",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),"alvás, relax",citrus-héj,igen,igen,"jegesen, forrón is",TRUE,FALSE
28,Erdő Szelleme,"Kortyonként olyan, mintha a fák sutyorognának melletted. Nem mondanak semmit fontosat, mégis megnyugszol.",Kínai Klasszikusok,Meditáció,meditatív,lágy,halvány arany,Apró erdei szikra a napodhoz.,kiegyensúlyozás,borókabogyó,60,fenyőtű,20,kakukkfű,12,zsálya,8,2,1,lágy,halvány arany-barnás,1,1 ek / 250 ml víz,90–95,5–7,este,ősz,,Általános jólét,Közepes,"Citrom, Friss menta",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),általános,nincs,igen,igen,"jegesen, forrón is",TRUE,FALSE
23,Ezeregy Rózsa,"Ez nem nagy lomtalanítás – inkább egy szépítő pakolás a bögrében. A káosz marad, de sokkal barátságosabban néz ki.",Közel-Keleti Ízek,Téli hangulat,romantikus,friss,mélyvörös,Édes rendrakás egy bögrében.,kiegyensúlyozás,eper,80,rózsa,6,hibiszkusz,6,citromhéj,8,2,1,"friss, virágos, savanykás",mélyvörös-bordó,1,1 ek / 250 ml víz,90–95,5–7,napközben,nyár,,Általános jólét,Közepes,"Méz, Friss menta",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),általános,nincs,igen,igen,forrón,FALSE,FALSE
12,Fehér Holdfény,"Ez a tea nem világítja be az utat, inkább elhalványítja a zajt. Este kortyolva olyan, mint egy halk „majd holnap folytatjuk”.",Európai Gyógynövények,Alvástámogatás,nyugtató,virágos,halvány arany,Könnyű lassítás egy zajos napban.,alvás & lecsendesítés,fehér tea,74,krizantém,20,rózsa,6,,0,1,3,virágos,halvány arany-barnás,1,1 ek / 250 ml víz,75–85,2–4,este,tavasz,,Mindennapi relax,Könnyű,"Citrom, Méz",alacsony,Kína – Fujian hegyvidék,minimális oxidáció (fehér),"alvás, relax",nincs,nem,igen,forrón,FALSE,FALSE
42,Fél Hanggal,"Kortyolva olyan, mint amikor valaki halkan dúdol az őszi villamoson. Nem koncert, de jobb tőle a táj.",Közel-Keleti Ízek,Őszi melegség,édes,friss,mély narancsos,Őszi dallam egy kortyban.,emésztés & komfort,körtedarab,72,vaníliarúd,8,rooibos,12,citromfű,8,1,1,"friss, édeskés",mély narancsos-vöröses,1,1 tk / 250 ml víz,90–95,5–7,este,ősz,,Általános jólét,Közepes,"Fahéjrúd, Friss menta",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),általános,nincs,igen,igen,forrón,FALSE,FALSE
5,Finom Hangulat,"Pont olyan, mint egy békés sóhaj étkezés után. Apró győzelem, hogy nem kell tovább foglalkoznod vele.",Afrikai Gyökerek,Belső utazás,emésztést segítő,friss,aranyló,"Nyugodt gyomor, békés hangulat.",emésztés & komfort,édeskömény,72,ánizs,8,kamilla,12,borsmenta,8,2,1,"friss, virágos, édeskés",aranyló-sárgás,3,1 ek / 250 ml víz,90–95,5–7,étkezés után,egész évben,,Étkezés utáni könnyedség,Közepes,"Alma chips, Gyömbérszelet",mentes,Közép-Európa – vadon/kert,szárított (gyógynövény/gyümölcs),étkezés után,nincs,igen,igen,forrón,FALSE,FALSE
83,Finom Kikapcs,"Zöld, tisztító korty, ami nem dramatizálja a méregtelenítést. Inkább olyan, mint amikor kirántod a konnektorból a laptopot.",Afrikai Gyökerek,Immunerősítő,méregtelenítő,friss,halványzöld,"Zöld kikapcs, könnyed ritmusban.",fókusz & éberség,zöld tea,70,citromfű,10,csalán,12,menta,8,2,2,"friss, enyhén zöld, gyógynövényes",halványzöld,2,1 tk / 250 ml víz,75–85,2–3,napközben,Tavasz,,Méregtelenítés,Közepes,"Friss citromfű, menta",közepes,Vegyes eredet,minimális oxidáció (zöld),általános,nincs,nem,igen,"forrón, jegesen is",TRUE,FALSE
82,Finom Reset,"Bogyós, savanykás lendület – nem restartolja a rendszert, csak bezár pár felesleges ablakot a háttérben.",Relax & Alvás,Gyümölcsös,antioxidáns,savanykás-gyümölcsös,mélybordó,Finom bogyós újrakezdés.,kiegyensúlyozás,szárított málna,66,áfonya,20,hibiszkusz,6,csipkebogyó,8,2,3,"savanykás-gyümölcsös, frissítő",mélybordó-pirosas,2,1.5 ek / 250 ml víz,90–95,5–7,napközben,Nyár,,Vidám baráti találkozó,Közepes,"Jég, friss bogyós gyümölcsök",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),általános,nincs,igen,igen,forrón,FALSE,FALSE
14,Hōjicha Nyugalom,"Földközeli béke, nem spirituális szónoklat. Csak egy bögre, ami csendben emlékeztet rá, hogy a dolgok többnyire kibírhatók.",Közel-Keleti Ízek,Alvástámogatás,nyugtató,lágy,halvány arany,"Földközeli béke, egy csészében.",alvás & lecsendesítés,hōjicha tea,72,árpa,20,vanília,8,,0,1,2,lágy,halvány arany-barnás,1,1 ek / 250 ml víz,90–95,5–7,este,ősz,,Mindennapi relax,Könnyű,"Gyömbérszelet, Friss menta",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),"alvás, relax",nincs,igen,igen,"langyosan, forrón is",FALSE,TRUE
45,Jáde Légzés,"Zöld, friss és egy kicsit túl őszinte. Kortyolva olyan, mintha a levegő is tisztább akarna lenni.",Relax & Alvás,Méregtelenítő,friss,világoszöld,,Élénkítő fűszeres frissesség,hűsítés & frissítés,zöld tea,84,jázminvirág,6,menta,10,,0,1,1,friss,világoszöld-sárga,2,1 tk / 250 ml víz,75–85,2–3,reggel,tavasz,,Általános jólét,Közepes,"Méz, Citrom",közepes,Vegyes eredet,minimális oxidáció (zöld),általános,nincs,nem,igen,"forrón, jegesen is",TRUE,FALSE
44,Kanapébarát Szünet,"Olyan, mint egy fotel, ami nem kérdez semmit, csak beenged. A világ közben mehet tovább nélküled.",Indiai Teák & Ayurveda,Lelki béke,energetizáló,virágos,halvány arany,A tökéletes társ egy kis sziesztára.,alvás & lecsendesítés,tulsi,80,rózsaszirom,6,jázmin,6,szent zsálya,8,1,3,virágos,halvány arany-barnás,2,1 ek / 250 ml víz,90–95,5–7,este,egész évben,,Általános jólét,Közepes,"Méz, Alma chips",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),általános,nincs,igen,igen,forrón,FALSE,FALSE
25,Karácsonyi Szilva,"Ünnepi hangulat, amihez nem kell díszíteni semmit. Egy korty, és máris kicsit kevésbé fontos a bevásárlólista.",Immunitás & Tisztulás,Téli hangulat,ünnepi,fűszeres,mély narancsos,Ünnepi újrakezdés egy kortyban.,kiegyensúlyozás,szilva,76,fahéj,8,szegfűszeg,8,rooibos,8,2,3,"fűszeres, édeskés",mély narancsos-vöröses,2,1 tk / 250 ml víz,90–95,5–7,este,tél,,Általános jólét,Közepes,"Fahéjrúd, Narancskarika",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),általános,nincs,igen,igen,forrón,FALSE,FALSE
47,Kellemes Mellékhatás,"Kortyolva pont olyan, mint amikor nem történik semmi különös – és ez a legjobb benne. Mellékhatása: béke, minden más opcionális.",Relax & Alvás,Méregtelenítő,lágy,világoszöld,,"Rizs és béke, mellékhatások nélkül.",kiegyensúlyozás,zöld tea,80,pörkölt barna rizs,20,,0,,0,1,1,lágy,világoszöld-sárga,2,1 tk / 250 ml víz,75–85,2–3,délután,ősz,,Általános jólét,Közepes,"Méz, Gyömbérszelet",közepes,Vegyes eredet,minimális oxidáció (zöld),általános,nincs,nem,igen,"forrón, jegesen is",TRUE,FALSE
79,Kellemes Pálya,"Esti landolás puha ágyon. Ez a tea nem álmodik helyetted, csak lefektet és kacsint: innen már menni fog.",Közel-Keleti Ízek,Alvástámogatás,alvássegítő,lágy,világossárga,Nyugodt leszállópálya estére.,alvás & lecsendesítés,hársfavirág,72,citromfű,10,macskagyökér,12,levendula,6,2,2,"lágy, virágos, enyhén földes",világossárga,2,1 ek / 250 ml víz,90–95,5–7,este,Ősz,,Nyugtató esti rituálé,Könnyű,"Méz, levendula szirmok",mentes,Közép-Európa – vadon/kert,szárított (gyógynövény/gyümölcs),"alvás, relax",nincs,igen,igen,"langyosan, forrón is",FALSE,TRUE
60,Kellemes Tempó,"Ez a tea lassan veszi le a lábadról a nap rohanását. Mire észbe kapsz, már az álmosság diktálja a tempót.",Afrikai Gyökerek,Alvástámogatás,friss,aranyló,,Kortyonként lassít a tempódon.,alvás & lecsendesítés,kamilla,78,citromfű,10,levendula,6,rózsa,6,3,1,"friss, virágos",aranyló-sárgás,1,1 ek / 250 ml víz,90–95,5–7,este,nyár,ősz,Általános jólét,Közepes,"Méz, Narancskarika",mentes,Közép-Európa – vadon/kert,szárított (gyógynövény/gyümölcs),általános,nincs,igen,igen,"langyosan, forrón is",FALSE,TRUE
41,Kis Csavar,"Egy gyümölcsös fordulat, ami nem rángat ki a székből. Inkább csak odateszi a naphoz a hiányzó zárójelet.",Indiai Teák & Ayurveda,Gyümölcsös,frissítő,savanykás,mélyvörös,Gyümölcsös csavar a napodhoz.,emésztés & komfort,meggy,78,hibiszkusz,6,almahéj,10,bodzavirág,6,1,3,savanykás,mélyvörös-bordó,1,1 ek / 250 ml víz,90–95,5–7,napközben,nyár,,Általános jólét,Közepes,"Friss menta, Gyömbérszelet",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),általános,nincs,igen,igen,"jegesen, forrón is",TRUE,FALSE
61,Kis Derű,"Egy bögrényi napsárga biztatás: kurkuma és társai. Nem harsány, inkább olyan, mint egy halk vállveregetés télen.",Rituálé & Szertartás,Belső utazás,friss,világoszöld,,Kurkuma-fény a napodra.,kiegyensúlyozás,kurkuma,74,gyömbér,8,citromhéj,10,zöld tea,8,1,2,"friss, fűszeres",világoszöld-sárga,1,1 tk / 250 ml víz,90–95,5–7,reggel,tél,,Általános jólét,Közepes,"Narancskarika, Citrom",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),általános,nincs,igen,igen,forrón,FALSE,FALSE
7,Kis Idő,"Ez nem időutazás, csak egy kis belső pezsgés. A vérkeringésed hálás lesz, a többit pedig ráfoghatod a fűszerekre.",Relax & Alvás,Rituálé,vérkeringés serkentő,friss,halvány arany,"Lendület, ami belülről pezsdít.",keringés & melegség,gyömbér,76,fahéj,8,cayenne bors,8,citromhéj,8,1,2,"friss, fűszeres",halvány arany-barnás,1,1.5 ek / 250 ml víz,95–100,6–8,reggel,tél,,Általános jólét,Közepes,"Friss menta, Citrom",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),általános,nincs,igen,igen,"forrón, jegesen is",TRUE,FALSE
59,Kis Rásegítés,"Olyan, mint amikor valaki finoman meglök a biciklin, hogy könnyebb legyen tekerni. Nem veszi át az irányítást, csak segít elindulni.",Európai Gyógynövények,Belső utazás,virágos,halvány arany,,"Erdei rásegítés, ha kell.",kreativitás & jókedv,kakukkfű,62,zsálya,20,borókabogyó,12,levendula,6,2,2,virágos,halvány arany-barnás,3,1 ek / 250 ml víz,90–95,5–7,este,ősz,,Általános jólét,Közepes,"Friss menta, Narancskarika",mentes,Közép-Európa – vadon/kert,szárított (gyógynövény/gyümölcs),általános,nincs,igen,igen,forrón,FALSE,FALSE
2,Kompakt Derű,"Olyan, mint ablakot nyitni egy friss levegőre – csak itt a szomszéd nem néz furán, hogy miért szippantasz nagyokat.",Európai Gyógynövények,Védelem,légutak támogatása,virágos,halvány arany,Szabad levegő egy bögre gőzben.,kiegyensúlyozás,kakukkfű,66,zsálya,20,hársvirág,6,édeskömény,8,1,3,"virágos, édeskés",halvány arany-barnás,1,1 ek / 250 ml víz,90–95,5–7,este,ősz,tél,Általános jólét,Erős,"Gyömbérszelet, Citrom",mentes,Közép-Európa – vadon/kert,szárított (gyógynövény/gyümölcs),általános,nincs,igen,igen,forrón,FALSE,FALSE
81,Kompakt Idő,"Egy kis belső béke, aranyló színekben. Olyan, mint amikor megtalálod a kanapén az elveszett távirányítót.",Immunitás & Tisztulás,Belső utazás,stresszoldó,édes,aranyló,Kompakt béke egy bögrében.,kiegyensúlyozás,édesgyökér,62,kamilla,20,citromfű,10,ánizs,8,2,2,"édes, gyógynövényes, lágy",aranyló-világossárga,2,1 tk / 250 ml víz,90–95,5–7,délután,Egész évben,,Stresszoldás,Közepes,"Méz, ánizs, citromhéj",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),"alvás, relax",nincs,igen,igen,forrón,FALSE,FALSE
